name,rating,address,region,closeregion,price,url,services,weddingpack,transfer,location
Riccardo Bestetti,4.9,,?,no,1200€,https://www.matrimonio.com/fotografo-matrimonio/riccardo-bestetti--e14732,"risoluzione, blu-ray o DVD con tutti gli scatti",Le possibilità sono molteplici e personalizzate,yes,Como e Lecco
JV Group,4.9,,?,no,1000€-3000€,https://www.matrimonio.com/fotografo-matrimonio/jv-group--e17772,"risoluzione, blu-ray o DVD con tutti gli scatti, Album digitali e tradizionali, slide show foto e videoclip durante ricevimento, foto e video partecipazioni, foto e video ringraziamenti, foto e video prematrimoniali, smile box, tableau marriage","2 fotografi e operatore video a disposizione per l'intera giornata, scatti illimitati, album lavorazionetradizionale o digitale con rifiniture a scelta, pagina web, omaggio genitori, files in HD",yes,"Bergamo, Como, Milano e Monza e Brianza"
Diagaz Fotografia,4.9,,?,no,350€-3800€,https://www.matrimonio.com/fotografo-matrimonio/diagaz-fotografia--e33452,"risoluzione, blu-ray o DVD con tutti gli scatti, cabina fotografica, Intrattenimento musicale appoggiandomi a professionisti lociali",Servizio fotografico completo al matrimonio  album a libro  2 album genitori  guestbook (è un secondoalbum)   usb con foto alta risoluzione  servizio fotografico in studio extra  Intrattenimento musicale,yes,?
Alessandro Cremona,5.0,,?,no,1350€-2800€,https://www.matrimonio.com/fotografo-matrimonio/alessandro-cremona--e34402,"Foto, video, prematrimonio, postmatrimonio, album, mini album, album digitali, fotografie in alta risoluzione",Due cartellette con 10 stampe 15x20 per ogni famiglia  File in alta risoluzione  1 calendariobimestrale  Valigia  Album provini con 400 fotografie stampate  Visibilità sul sito per un mese dell'album,yes,Bergamo e Brescia
Andrea Lavaria,4.9,,?,no,1300€-2500€,https://www.matrimonio.com/fotografo-matrimonio/andrea-lavaria--e37202,"Foto, video, prematrimonio, album, fotografie in alta risoluzione","La nostra offerta base comprende album sposi con due album per i genitori. Abbiamo una gamma di prodottitra cui scegliere, sarà un piacere guidarvi verso la soluzione più adeguata alle vs esigenze",yes,Milano e Monza e Brianza
Wedding reportage 42,4.7,,?,no,1000€-4000€,https://www.matrimonio.com/fotografo-matrimonio/wedding-reportage-42--e65932,"Fotografia - Video Realizzazione partecipazioni di Nozze e Biglietti di ringraziamento, Ritratti in location -  Ritratti in Studio","Dal solo servizio Fotografico con la consegna dei file elaborati a tutto quello che, la fantasia e latecnica , oggi ci permettono....",yes,?
Sergio Lussignoli Fotografo,4.9,,?,no,1300€-2500€,https://www.matrimonio.com/fotografo-matrimonio/sergio-lussignoli-fotografo--e66232,DVD con tutti gli scatti,"Album libro digitale 30x30 oppure 30x40,  2  album 20x30 x genitori  1 chiavetta con tutti i files inalta risoluzione + 1 slideshow full hd  servizio prematrimoniale 1 stampa su tela 50x70",yes,Brescia e Cremona
Flavio Milano Studio,5.0,,?,no,700€-3500€,https://www.matrimonio.com/fotografo-matrimonio/flavio-milano-studio--e73457,"risoluzione, blu-ray o DVD con tutti gli scatti, cabina fotografica, altri",Presenza del fotografo e/o operatore video per tutto il giorno. Album tradizionale o fotolibro e duealbum genitori.  Ogni altro da definire in fase contrattuale,yes,Milano e Monza e Brianza
Giorgio Baruffi Fotografia,5.0,,?,no,1700€-2100€,https://www.matrimonio.com/fotografo-matrimonio/giorgio-baruffi-fotografia--e78715,"Foto, prematrimonio, postmatrimonio, album, fotografie in alta risoluzione","Ogni matrimonio è una storia a sé, di conseguenza non propongo pacchetti preconfezionati, ne parleremo di persona",yes,?
S&D Reporter di Reina Erica,4.9,,?,no,600€-2300€,https://www.matrimonio.com/fotografo-matrimonio/s&d-reporter-di-reina-erica--e94183,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti","Il pacchetto completo matrimoniale include un album digitale 30x40 con valigia, due album genitori 15x20,il Dvd video, servizio con Drone e sviluppo foto in sala degli sposi con gli invitati",yes,?
Fotomorena,4.9,,?,no,1000€-5000€,https://www.matrimonio.com/fotografo-matrimonio/fotomorena--e101750,"risoluzione, blu-ray o DVD con tutti gli scatti, cabina fotografica, Foto Express ovvero stampa in location di foto delle nozze  Wedding Trailer montaggio e proiezione in location del video trailer per rivivere insieme ai tuoi invitati le emozioni della giornata","Le soluzioni sono tutte ""su misura"".  I pacchetti possono partire dalle sole foto post-prodotte fino alservizio più completo con album di vari formati, album genitori, video e strepitose riprese aeree",yes,Lecco e Monza e Brianza
